94,"1/2"" Impact Socket Long 8mm""",8,240.00,50,960,"Sale Price:170",0,180,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
95,"1/2"" Socket Set 26pcs. H/K""",0,3500.00,50,0,"Sale Price:2200",0,2200,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
96,"1/2"" Steel Ball""",169,10.00,50,845,S.R.:10,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
97,"1/4 X 11/16 X 1/4 2RS WM",4,100.00,50,200,S.R.:80,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
98,"1/4"" Socket Set 46pcs. H/K""",9,2000.00,50,9000,"Sale Price:1200",0,1200,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
99,"1/4"" Steel Ball""",200,6.00,50,600,S.R.:6,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
100,"1/8"" Steel Ball""",200,4.00,50,400,S.R.:4,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
101,"10-18-5 Oil Seal",18,16.00,60,115.2,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
102,"10-18.5-3 Oil Seal JKP",3,16.00,60,19.2,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
103,"10-20-5 Oil Seal",20,16.00,60,128,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
104,"10-20-7 Oil Seal",40,16.00,60,256,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
105,"10-22-7 Oil Seal",22,19.00,60,167.2,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
106,"10-24-7 Oil Seal",10,19.00,60,76,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
107,"10-26-7 Oil Seal",34,21.00,60,285.6,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
108,"10-28-7 Oil Seal",16,21.00,60,134.4,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
109,"10-30-7 Oil Seal",24,21.00,60,201.6,S.R.:15,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
110,"10"" X2B (4"""") D/K Pulley""",35,1000.00,50,17500,"Sale Prices:600",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
